"gene","removal_reason"
"Phvul.010G095700","no readcount"
"Phvul.010G098500","no readcount"
"Phvul.010G099300","no readcount"
"Phvul.010G111100","no readcount"
"Phvul.010G112000","no readcount"
"Phvul.010G115300","no readcount"
"Phvul.010G118600","no readcount"
"Phvul.010G119900","no readcount"
"Phvul.010G121900","no readcount"
"Phvul.010G131400","no readcount"
"Phvul.010G132100","no readcount"
"Phvul.010G134100","no readcount"
"Phvul.010G136300","no readcount"
"Phvul.010G138400","no readcount"
"Phvul.010G141300","no readcount"
"Phvul.010G142900","no readcount"
"Phvul.010G148900","no readcount"
"Phvul.010G151400","no readcount"
"Phvul.010G152500","no readcount"
"Phvul.010G152600","no readcount"
"Phvul.010G158000","no readcount"
"Phvul.010G165200","no readcount"
"Phvul.010G165500","no readcount"
"Phvul.011G003300","no readcount"
"Phvul.011G013400","no readcount"
"Phvul.011G017900","no readcount"
"Phvul.011G023900","no readcount"
"Phvul.011G038300","no readcount"
"Phvul.011G042700","no readcount"
"Phvul.011G042900","no readcount"
"Phvul.011G043000","no readcount"
"Phvul.011G045400","no readcount"
"Phvul.011G046200","no readcount"
"Phvul.011G054600","no readcount"
"Phvul.011G057100","no readcount"
"Phvul.011G068000","no readcount"
"Phvul.011G070300","no readcount"
"Phvul.011G071200","no readcount"
"Phvul.011G073600","no readcount"
"Phvul.011G077400","no readcount"
"Phvul.011G081700","no readcount"
"Phvul.011G082200","no readcount"
"Phvul.011G082300","no readcount"
"Phvul.011G083300","no readcount"
"Phvul.011G083600","no readcount"
"Phvul.011G090800","no readcount"
"Phvul.011G092000","no readcount"
"Phvul.011G093700","no readcount"
"Phvul.011G095200","no readcount"
"Phvul.011G099000","no readcount"
"Phvul.011G113500","no readcount"
"Phvul.011G116700","no readcount"
"Phvul.011G118830","no readcount"
"Phvul.011G125500","no readcount"
"Phvul.011G126200","no readcount"
"Phvul.011G133650","no readcount"
"Phvul.011G135300","no readcount"
"Phvul.011G136115","no readcount"
"Phvul.011G136500","no readcount"
"Phvul.011G140701","no readcount"
"Phvul.011G141600","no readcount"
"Phvul.011G147200","no readcount"
"Phvul.011G147400","no readcount"
"Phvul.011G152100","no readcount"
"Phvul.011G152300","no readcount"
"Phvul.011G164301","no readcount"
"Phvul.011G164700","no readcount"
"Phvul.011G169332","no readcount"
"Phvul.011G169400","no readcount"
"Phvul.011G172300","no readcount"
"Phvul.011G175100","no readcount"
"Phvul.011G175301","no readcount"
"Phvul.011G175700","no readcount"
"Phvul.011G176400","no readcount"
"Phvul.011G179600","no readcount"
"Phvul.011G187900","no readcount"
"Phvul.011G188600","no readcount"
"Phvul.011G193400","no readcount"
"Phvul.011G194300","no readcount"
"Phvul.011G206450","no readcount"
"Phvul.011G210200","no readcount"
"Phvul.011G210900","no readcount"
"Phvul.011G211300","no readcount"
"Phvul.011G212800","no readcount"
"Phvul.L001652","no readcount"
"Phvul.L001843","no readcount"
"Phvul.L001851","no readcount"
"Phvul.L001859","no readcount"
"Phvul.L001862","no readcount"
"Phvul.L001951","no readcount"
"Phvul.L002043","no readcount"
"Phvul.L002943","no readcount"
"Phvul.L003389","no readcount"
"Phvul.L003446","no readcount"
"Phvul.L003546","no readcount"
"Phvul.L003746","no readcount"
"Phvul.L009643","no readcount"
"Phvul.001G000700","low readcount"
"Phvul.001G001000","low readcount"
"Phvul.001G001500","low readcount"
"Phvul.001G001600","low readcount"
"Phvul.001G001900","low readcount"
"Phvul.001G002000","low readcount"
"Phvul.001G002200","low readcount"
"Phvul.001G003100","low readcount"
"Phvul.001G004033","low readcount"
"Phvul.001G004500","low readcount"
"Phvul.001G004700","low readcount"
"Phvul.001G004800","low readcount"
"Phvul.001G004900","low readcount"
"Phvul.001G005400","low readcount"
"Phvul.001G005500","low readcount"
"Phvul.001G006000","low readcount"
"Phvul.001G006300","low readcount"
"Phvul.001G006400","low readcount"
"Phvul.001G006900","low readcount"
"Phvul.001G007100","low readcount"
"Phvul.001G007200","low readcount"
"Phvul.001G007300","low readcount"
"Phvul.001G008500","low readcount"
"Phvul.001G009500","low readcount"
"Phvul.001G009700","low readcount"
"Phvul.001G010000","low readcount"
