"gene","removal_reason"
"Vigun05g255700","no readcount"
"Vigun05g256700","no readcount"
"Vigun05g262000","no readcount"
"Vigun05g262600","no readcount"
"Vigun05g263701","no readcount"
"Vigun05g266000","no readcount"
"Vigun05g266100","no readcount"
"Vigun05g267500","no readcount"
"Vigun05g268200","no readcount"
"Vigun05g270800","no readcount"
"Vigun05g273700","no readcount"
"Vigun05g275300","no readcount"
"Vigun05g275700","no readcount"
"Vigun05g277900","no readcount"
"Vigun05g279100","no readcount"
"Vigun05g279800","no readcount"
"Vigun05g282200","no readcount"
"Vigun05g294200","no readcount"
"Vigun05g297000","no readcount"
"Vigun05g297900","no readcount"
"Vigun05g302900","no readcount"
"Vigun06g001100","no readcount"
"Vigun06g005700","no readcount"
"Vigun06g007855","no readcount"
"Vigun06g010400","no readcount"
"Vigun06g014900","no readcount"
"Vigun06g016500","no readcount"
"Vigun06g018500","no readcount"
"Vigun06g021100","no readcount"
"Vigun06g029700","no readcount"
"Vigun06g031100","no readcount"
"Vigun06g031300","no readcount"
"Vigun06g033200","no readcount"
"Vigun06g033500","no readcount"
"Vigun06g037200","no readcount"
"Vigun06g039400","no readcount"
"Vigun06g040000","no readcount"
"Vigun06g040800","no readcount"
"Vigun06g041000","no readcount"
"Vigun06g041700","no readcount"
"Vigun06g041900","no readcount"
"Vigun06g045000","no readcount"
"Vigun06g045800","no readcount"
"Vigun06g050400","no readcount"
"Vigun06g053100","no readcount"
"Vigun06g055000","no readcount"
"Vigun06g058700","no readcount"
"Vigun06g059700","no readcount"
"Vigun06g060200","no readcount"
"Vigun06g060700","no readcount"
"Vigun06g062600","no readcount"
"Vigun06g064800","no readcount"
"Vigun06g070300","no readcount"
"Vigun06g072700","no readcount"
"Vigun06g078750","no readcount"
"Vigun06g079000","no readcount"
"Vigun06g081100","no readcount"
"Vigun06g086900","no readcount"
"Vigun06g088100","no readcount"
"Vigun06g088200","no readcount"
"Vigun06g089000","no readcount"
"Vigun06g089300","no readcount"
"Vigun06g090500","no readcount"
"Vigun06g090700","no readcount"
"Vigun06g090800","no readcount"
"Vigun06g090900","no readcount"
"Vigun06g092200","no readcount"
"Vigun06g093000","no readcount"
"Vigun06g093400","no readcount"
"Vigun06g094200","no readcount"
"Vigun06g094300","no readcount"
"Vigun06g095100","no readcount"
"Vigun06g099200","no readcount"
"Vigun06g101900","no readcount"
"Vigun06g104500","no readcount"
"Vigun06g106700","no readcount"
"Vigun06g107600","no readcount"
"Vigun06g108100","no readcount"
"Vigun06g116000","no readcount"
"Vigun06g120500","no readcount"
"Vigun06g121200","no readcount"
"Vigun06g123000","no readcount"
"Vigun06g124500","no readcount"
